Date,PM10,PM2. 5,CO,AQI,Place_vyttilla
4/26/2023,-0.702684544,-0.450095421,0.417205203,-0.150824165,1
4/27/2023,0.854751128,-0.660590043,0.365225369,0.23926502,1
4/28/2023,-0.518104179,-0.048282593,0.44319512,0.031217455,1
4/29/2023,-0.737798317,-0.342172331,0.391215286,-0.540913349,1
4/30/2023,-0.053235111,-0.291778491,0.313245535,-0.462895512,1
5/1/2023,-1.037974466,-0.85636788,0.105326201,-0.540913349,1
5/2/2023,-1.320749099,-1.184596783,0.287255619,-0.618931186,1
5/3/2023,-0.20425541,-0.572735296,0.44319512,-0.462895512,1
5/4/2023,0.801614356,-0.409066808,0.599134621,0.23926502,1
5/5/2023,0.373102028,-0.357335079,0.469185036,-0.098812274,1
5/6/2023,0.140046011,-0.032227919,0.625124537,-0.306859839,1
5/7/2023,-0.778816176,-0.359118932,0.547154787,-0.280853893,1
5/8/2023,0.819326614,-0.012605539,0.651114454,0.265270965,1
5/9/2023,-0.232222132,-0.152637978,0.44319512,-0.566919295,1
5/10/2023,0.70839195,0.10066911,0.677104371,0.161247183,1
5/11/2023,0.705284536,-0.523233383,0.755074122,0.369294748,1
5/12/2023,1.412531861,-0.762715612,0.651114454,0.629354204,1
5/13/2023,3.466532218,-0.603060793,0.729084205,1.799621757,1
5/14/2023,1.760562178,-0.485772476,0.781064038,0.811395823,1
5/15/2023,1.325524281,-0.636062068,0.599134621,0.603348258,1
5/16/2023,1.462250477,-0.528138978,0.962993456,0.369294748,1
5/17/2023,-0.744634627,-0.087527353,0.911013623,0.291276911,1
5/18/2023,0.257195502,-0.457676795,0.885023706,0.395300693,1
5/19/2023,0.627909939,-0.324779767,0.911013623,0.187253128,1
5/20/2023,-0.156401241,-0.583438413,0.937003539,-0.566919295,1
5/21/2023,-0.416181014,-0.782783955,0.781064038,-0.384877675,1
5/22/2023,-0.122841175,-0.820244863,0.807053955,-0.35887173,1
5/23/2023,-0.394739861,-0.785905698,0.885023706,0.317282856,1
5/24/2023,-0.366773139,-0.964736934,0.833043872,-0.332865784,1
5/25/2023,-0.52059011,-0.99506243,0.807053955,-0.306859839,1
5/26/2023,-0.281008525,-0.93619529,0.911013623,-0.306859839,1
5/27/2023,2.009155262,-0.379187275,1.118932957,0.967431497,1
5/28/2023,0.632260318,-0.494691739,1.066953124,0.109235291,1
5/29/2023,1.067608956,-0.394795986,1.040963207,0.447312585,1
5/30/2023,1.160831363,-0.313184724,1.118932957,0.499324476,1
5/31/2023,0.39423244,-0.806420004,0.988983373,-0.098812274,1
6/1/2023,0.57321946,-0.85770577,1.040963207,0.0572234,1
6/2/2023,0.60988694,-0.651224816,1.196902708,0.083229346,1
6/3/2023,0.393610957,-0.827380273,1.118932957,0.005211509,1
6/4/2023,-0.239990666,-0.958493449,0.937003539,-0.202836056,1
6/5/2023,-0.205187634,-1.183704856,1.066953124,-0.124818219,1
6/6/2023,-0.220724702,-1.127067532,1.09294304,0.031217455,1
6/7/2023,-0.74774204,-1.392415626,0.962993456,0.031217455,1
6/8/2023,-1.155745439,-1.313926106,0.937003539,-0.280853893,1
6/9/2023,-1.349026562,-1.314372069,0.911013623,-0.306859839,1
6/10/2023,-1.191480695,-1.120824048,0.937003539,-0.332865784,1
6/11/2023,-0.183435739,-1.051699754,0.885023706,0.031217455,1
6/12/2023,-0.970854333,-0.963399044,0.859033789,0.0572234,1
6/13/2023,-0.859919669,-0.952695928,1.09294304,-0.228842002,1
6/14/2023,-0.904355683,-1.057051313,1.066953124,-0.228842002,1
6/15/2023,-0.531466057,-0.822028715,1.300862375,-0.124818219,1
6/16/2023,-0.579941708,-1.180583114,1.118932957,-0.202836056,1
6/17/2023,-0.455023684,-0.772972765,1.144922874,-0.202836056,1
6/18/2023,-1.030516673,-1.073105987,0.937003539,-0.306859839,1
6/19/2023,-1.065319705,-1.057943239,1.09294304,-0.228842002,1
6/20/2023,-0.790624347,-0.904977867,1.222892625,-0.150824165,1
6/21/2023,-0.516550472,-0.812217525,1.248882542,-0.150824165,1
6/22/2023,-0.068772179,-0.759147907,1.196902708,-0.17683011,1
6/23/2023,-0.414005825,-0.920140615,1.170912791,-0.17683011,1
6/24/2023,1.247838942,-0.427351299,1.274872458,0.551336367,1
6/25/2023,-0.102642987,-0.79883863,1.09294304,-0.228842002,1
6/26/2023,-1.218204452,-1.068200392,1.118932957,-0.202836056,1
6/27/2023,-1.403406299,-1.14356817,1.144922874,-0.202836056,1
6/28/2023,-0.670988925,-0.778324323,1.170912791,-0.17683011,1
6/29/2023,-1.890027262,-1.427646717,0.937003539,-0.306859839,1
6/30/2023,-0.285048162,-0.880449892,1.274872458,-0.124818219,1
7/1/2023,-0.310218212,-1.031185448,1.144922874,-0.202836056,1
7/2/2023,-1.066251929,-1.092282404,0.962993456,-0.280853893,1
